host=raw.githubusercontent.com, protocol=https, dl_speed=51683862, sc_avg_speed=36407612, mc_avg_speed=0, last_updated=1781364459, counter=46, status=OK
host=report.rutgers.edu, protocol=https, dl_speed=3048400, sc_avg_speed=3048400, mc_avg_speed=0, last_updated=1781363864, counter=1, status=OK
host=reputation.alienvault.com, protocol=https, dl_speed=4722888, sc_avg_speed=4722888, mc_avg_speed=0, last_updated=1781363859, counter=1, status=OK
host=rescure.me, protocol=https, dl_speed=0, sc_avg_speed=0, mc_avg_speed=0, last_updated=1781363863, counter=0, status=ERROR
host=secure.fanboy.co.nz, protocol=https, dl_speed=2679661, sc_avg_speed=2679661, mc_avg_speed=0, last_updated=1781363861, counter=1, status=OK
host=securedrop.org, protocol=https, dl_speed=51355, sc_avg_speed=51355, mc_avg_speed=0, last_updated=1781364459, counter=1, status=OK
host=sigs.interserver.net, protocol=https, dl_speed=541233, sc_avg_speed=541233, mc_avg_speed=0, last_updated=1781363861, counter=1, status=OK
host=someonewhocares.org, protocol=https, dl_speed=15702000, sc_avg_speed=15702000, mc_avg_speed=0, last_updated=1781363860, counter=1, status=OK
host=taz.net.au, protocol=http, dl_speed=538959, sc_avg_speed=538959, mc_avg_speed=0, last_updated=1781363865, counter=1, status=OK
host=threatfox.abuse.ch, protocol=https, dl_speed=27862456, sc_avg_speed=37940384, mc_avg_speed=0, last_updated=1781363859, counter=0, status=OK
host=threatview.io, protocol=https, dl_speed=3329881, sc_avg_speed=1106610, mc_avg_speed=0, last_updated=1781363865, counter=4, status=OK
host=tracker.viriback.com, protocol=https, dl_speed=19447940, sc_avg_speed=19447940, mc_avg_speed=0, last_updated=1781363865, counter=1, status=OK
host=urlhaus.abuse.ch, protocol=https, dl_speed=17885250, sc_avg_speed=25541720, mc_avg_speed=0, last_updated=1781363859, counter=0, status=OK
host=view.sentinel.turris.cz, protocol=https, dl_speed=1067226, sc_avg_speed=1067226, mc_avg_speed=0, last_updated=1781363865, counter=1, status=OK
host=voipbl.org, protocol=https, dl_speed=2707468, sc_avg_speed=2707468, mc_avg_speed=0, last_updated=1781363866, counter=1, status=OK
